
2024/11/23 (17:35:06) | ===> btop++ v.1.4.0
2024/11/23 (17:35:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/23 (22:53:15) | ===> btop++ v.1.4.0
2024/11/23 (22:53:15) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/24 (11:52:52) | ===> btop++ v.1.4.0
2024/11/24 (11:52:52) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (14:31:57) | ===> btop++ v.1.4.0
2024/11/25 (14:31:57) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (16:47:55) | ===> btop++ v.1.4.0
2024/11/25 (16:47:55) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (17:45:32) | ===> btop++ v.1.4.0
2024/11/25 (17:45:32) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (17:51:39) | ===> btop++ v.1.4.0
2024/11/25 (17:51:39) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (17:53:06) | ===> btop++ v.1.4.0
2024/11/25 (17:53:06) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (17:57:26) | ===> btop++ v.1.4.0
2024/11/25 (17:57:26) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (22:15:19) | ===> btop++ v.1.4.0
2024/11/25 (22:15:19) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/11/25 (22:26:11) | ===> btop++ v.1.4.0
2024/11/25 (22:26:11) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/02 (18:23:36) | ===> btop++ v.1.4.0
2024/12/02 (18:23:36) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/02 (21:46:30) | ===> btop++ v.1.4.0
2024/12/02 (21:46:30) | WARNING: NVML: Failed to get maximum GPU power draw, defaulting to 225W: Not Supported

2024/12/02 (22:18:45) | ===> btop++ v.1.4.0
